NOM,2011,2010,2009,2008,price level
el Raval,2176,2445,2773,3065,157.2264150943397
el Barri Gòtic,2632,3026,3750,3828,613.2264150943397
Sant Pere Santa Caterina i la Ribera,2482,2828,3146,3450,463.2264150943397
el Fort Pienc,2224,2422,2736,2893,205.2264150943397
la Sagrada Família,2267,2490,2535,2677,248.2264150943397
la Dreta de l'Eixample,2302,2649,2606,3134,283.2264150943397
l'Antiga Esquerra de l'Eixample,2471,3006,3068,3583,452.2264150943397
la Nova Esquerra de l'Eixample,2314,2802,2973,3337,295.2264150943397
Sant Antoni,2051,2369,2833,2953,32.2264150943397
el Poble Sec - Parc Montjuïc,1681,1867,2114,2817,-337.7735849056603
la Marina de Port,1968,2425,2723,3121,-50.7735849056603
la Font de la Guatlla,2566,2317,2533,2375,547.2264150943397
Hostafrancs,1772,1944,2391,2634,-246.7735849056603
la Bordeta,2177,2290,2301,2258,158.2264150943397
Sants - Badal,1533,1665,1755,2223,-485.7735849056603
Sants,1838,2050,2216,2256,-180.7735849056603
les Corts,2203,2862,3042,3330,184.2264150943397
la Maternitat i Sant Ramon,2470,2795,2863,3122,451.2264150943397
Sarrià,2969,3502,3293,3396,950.2264150943397
les Tres Torres,2411,2993,3362,4235,392.2264150943397
Sant Gervasi - la Bonanova,3022,3028,3243,3355,1003.2264150943397
Sant Gervasi - Galvany,3351,3989,3727,4326,1332.2264150943397
el Putxet i el Farró,2535,2637,2505,3243,516.2264150943397
Vallcarca i els Penitents,1907,2027,2192,2315,-111.7735849056603
el Coll,1772,1864,2111,2066,-246.7735849056603
la Salut,2242,2525,2341,2718,223.2264150943397
la Vila de Gràcia,2147,2380,2749,3115,128.2264150943397
el Camp d'en Grassot i Gràcia Nova,1980,2209,2896,2835,-38.7735849056603
el Baix Guinardó,1842,2102,2230,2546,-176.7735849056603
Can Baró,1436,1595,1941,2100,-582.7735849056603
el Guinardó,1760,1902,1963,2335,-258.7735849056603
el Carmel,1422,1703,2023,1973,-596.7735849056603
la Teixonera,1110,1289,1387,1943,-908.7735849056603
Horta,1729,1918,1888,2019,-289.7735849056603
Vilapicina i la Torre Llobeta,1795,1671,1963,1671,-223.7735849056603
Porta,1768,1823,2368,1902,-250.7735849056603
les Roquetes,1499,1505,1437,1887,-519.7735849056603
la Prosperitat,1385,1562,1645,2005,-633.7735849056603
la Trinitat Vella,1196,1431,1527,1604,-822.7735849056603
el Bon Pastor,1539,1437,1656,1491,-479.7735849056603
Sant Andreu,1684,1949,2058,2597,-334.7735849056603
la Sagrera,1234,1919,1871,2577,-784.7735849056603
el Congrés i els Indians,1669,1912,2102,2416,-349.7735849056603
Navas,1656,1928,2445,2664,-362.7735849056603
el Camp de l'Arpa del Clot,1927,2175,2206,2698,-91.7735849056603
el Clot,2239,2288,2546,2960,220.2264150943397
el Parc i la Llacuna del Poblenou,2029,2277,2392,2307,10.2264150943397
el Poblenou,2240,2441,2720,3169,221.2264150943397
Diagonal Mar i el Front Marítim del Poblenou,2651,2991,2445,3752,632.2264150943397
el Besòs i el Maresme,2121,2751,2842,3669,102.2264150943397
Provençals del Poblenou,2255,2516,2660,3857,236.2264150943397
Sant Martí de Provençals,1812,2175,2266,1957,-206.7735849056603
la Verneda i la Pau,1534,1915,1973,2199,-484.7735849056603
